index,Close
0,401.0098587917688
1,393.74497533716817
2,385.9784627516498
3,378.0303728066437
4,370.10300860844586
5,362.3179171662268
6,354.7517259422898
7,347.4429963858757
8,340.4018574144153
9,333.63474969823164
